# Palomar sky spectrum for "grey" conditions
# Measured by Christoffer Fremling, 2026-07
# Compiled by Chaz Shapiro, 2026-08-07

wavelength_A,flam_erg_s_cm2_A_arcsec2
3368.5449999999837,3.1206692499999775e-17
3369.234999999986,3.1869714999999916e-17
3369.9249999999884,3.346648749999997e-17
3370.6149999999907,3.495753250000013e-17
3371.304999999993,3.597709500000037e-17
3371.995249999978,3.7464767500000346e-17
3372.6852499999804,3.775954000000013e-17
3373.3752499999828,3.7529755000000084e-17
3374.065499999968,3.710946500000002e-17
3374.75549999997,3.5996425000000045e-17
3375.4457499999553,3.5378347500000095e-17
3376.1359999999986,3.473046499999999e-17
3376.826000000001,3.464179499999978e-17
3377.5160000000033,3.533482999999965e-17
3378.2060000000056,3.5759899999999637e-17
3378.896000000008,3.646083249999966e-17
3379.5860000000102,3.683173999999993e-17
3380.2760000000126,3.68050775e-17
3380.966000000015,3.66363975e-17
3381.6560000000172,3.5961757499999976e-17
3382.3460000000196,3.407751500000001e-17
3383.036000000022,3.2243850000000004e-17
3383.726000000024,3.062237750000006e-17
3384.4159999999683,2.966899000000013e-17
3385.1059999999707,3.0281737499999856e-17
3385.795999999973,3.088444749999981e-17
3386.4859999999753,3.16217124999996e-17
3387.1759999999776,3.21913174999996e-17
3387.86599999998,3.2645639999999846e-17
3388.5559999999823,3.318639249999991e-17
3389.2459999999846,3.28189450000002e-17
3389.935999999987,3.245273750000026e-17
3390.6259999999893,3.1744375e-17
3391.3159999999916,3.127916250000014e-17
3392.005999999994,3.1610829999999984e-17
3392.6959999999963,3.176452999999992e-17
3393.3859999999986,3.213922249999991e-17
3394.076000000001,3.1692502499999873e-17
3394.7660000000033,3.051927000000008e-17
3395.455750000023,2.976154250000003e-17
3396.145499999984,2.883869000000013e-17
3396.8352500000037,2.850416000000001e-17
3397.5250000000233,2.8955487500000005e-17
3398.2150000000256,2.92485100000001e-17
3398.905000000028,2.984100500000032e-17
3399.594999999972,3.059176750000044e-17
3400.2849999999744,3.123164500000041e-17
3400.9749999999767,3.177371250000024e-17
3401.6647499999963,3.193998250000028e-17
3402.354500000016,3.253277000000005e-17
3403.044249999977,3.2868709999999916e-17
3403.7339999999967,3.3340542500000164e-17
3404.4237500000163,3.300918749999987e-17
3405.113500000036,3.224584250000004e-17
3405.8032500000554,3.1612015000000165e-17
3406.4930000000168,3.068955500000019e-17
3407.183000000019,3.037914250000046e-17
3407.8730000000214,2.967659000000034e-17
3408.5630000000237,2.9417520000000045e-17
3409.253000000026,2.906965999999996e-17
3409.9427499999874,2.8577862499999757e-17
3410.632499999949,2.8513514999999903e-17
3411.3222499999683,2.7967335000000025e-17
3412.011999999988,2.74586600000001e-17
3412.7017500000075,2.7653060000000204e-17
3413.391500000027,2.8012452500000185e-17
3414.0812499999884,2.8326130000000114e-17
3414.771000000008,2.881025500000012e-17
3415.4607500000275,2.853284499999997e-17
3416.150500000047,2.76766649999999e-17
3416.8402500000666,2.6763627499999805e-17
3417.530000000028,2.605287999999958e-17
3418.2197499999893,2.6493787499999873e-17
3418.9094999999506,2.749520999999983e-17
3419.59924999997,2.9102502499999963e-17
3420.288750000007,3.0319727500000116e-17
3420.9785000000265,3.090593249999989e-17
3421.668250000046,3.165208250000005e-17
3422.3580000000075,3.206065250000025e-17
3423.047749999969,3.21206325000001e-17
3423.7374999999884,3.232499999999999e-17
3424.426999999967,3.164392499999994e-17
3425.1165000000037,3.1048957499999775e-17
3425.8062500000233,3.115079499999998e-17
3426.4959999999846,3.078873750000008e-17
3427.185750000004,3.070297500000014e-17
3427.8754999999655,3.080576750000017e-17
3428.565249999985,3.0993762500000246e-17
3429.254750000022,3.1223472500000304e-17
3429.9445000000414,3.1913212499999974e-17
3430.6340000000782,3.1517229999999875e-17
3431.323500000057,3.1769122499999883e-17
3432.013250000018,3.201926499999981e-17
3432.7027499999967,3.246931000000004e-17
3433.392499999958,3.35090475000002e-17
3434.0819999999367,3.3255925000000016e-17
3434.7714999999735,3.2601657499999876e-17
3435.4610000000102,3.134797249999998e-17
3436.150500000047,3.017465749999981e-17
3436.8402500000666,2.9741072499999773e-17
3437.529750000045,3.0587829999999967e-17
3438.2195000000065,3.143387999999989e-17
3438.908999999985,3.2763737499999883e-17
3439.5984999999637,3.33841700000002e-17
3440.2879999999423,3.2898947499999994e-17
3440.977499999979,3.251149749999954e-17
3441.6672499999986,3.093889999999987e-17
3442.3564999999944,2.933780999999941e-17
3443.046000000031,2.792425499999989e-17
3443.73550000001,2.639726000000029e-17
3444.4247500000056,2.5093732500000294e-17
3445.114500000025,2.423130750000016e-17
3445.8040000000037,2.352457e-17
3446.4934999999823,2.3015135000000213e-17
3447.182999999961,2.3588675000000293e-17
3447.8724999999395,2.419880250000049e-17
3448.561999999918,2.5082747500000694e-17
3449.251499999955,2.6089117500000155e-17
3449.9409999999916,2.68030949999998e-17
3450.6305000000284,2.764144249999993e-17
3451.320000000065,2.8365624999999314e-17
3452.009250000061,2.9701319999999436e-17
3452.698500000057,3.0957159999999736e-17
3453.3877500000526,3.1946909999999823e-17
3454.0770000000484,3.264704750000038e-17
3454.766500000027,3.274592750000072e-17
3455.4560000000056,3.23369500000006e-17
3456.1452500000014,3.223467000000087e-17
3456.83474999998,3.233127500000083e-17
3457.523999999976,3.291414000000081e-17
3458.2134999999544,3.3522310000000965e-17
3458.902999999933,3.384764000000077e-17
3459.5922499999288,3.403344000000045e-17
3460.2814999999246,3.2772340000000306e-17
3460.9704999999376,3.1987192500000065e-17
3461.6597499999334,3.0953404999999624e-17
3462.348999999929,2.985836999999956e-17
3463.038499999966,2.934007999999979e-17
3463.728000000003,2.838691249999982e-17
3464.4172499999986,2.7936137500000514e-17
3465.1064999999944,2.743137000000028e-17
3465.79574999999,2.763114499999981e-17
3466.484999999986,2.8594059999999996e-17
3467.17425000004,2.952581499999948e-17
3467.863500000094,3.0405562500000045e-17
3468.552500000049,3.085460250000045e-17
3469.2415000000037,3.0658312500000293e-17
3469.9307499999995,3.0081745000000364e-17
3470.6199999999953,3.003988500000001e-17
3471.3092500000494,3.031508749999977e-17
3471.998750000086,3.0372595000000064e-17
3472.688000000082,3.0764439999999724e-17
3473.3772500000778,3.0816822500000154e-17
3474.0665000000736,3.051212250000058e-17
3474.7555000000866,3.0129385000000464e-17
3475.4447500000824,2.94768350000012e-17
3476.1337500000373,2.862570500000061e-17
3476.822749999992,2.728851750000036e-17
3477.511749999947,2.6638417499999866e-17
3478.20074999996,2.5582967499999775e-17
3478.890000000014,2.5173655000000498e-17
3479.57925000001,2.559220250000048e-17
3480.2685000000056,2.633398000000064e-17
3480.9574999999604,2.7425165000000608e-17
3481.6464999999152,2.921140750000047e-17
3482.3354999999283,3.2020407500000396e-17
3483.024749999924,3.423973750000078e-17
3483.71399999992,3.6588532500000727e-17
3484.4032499999157,3.767902750000082e-17
3485.0922499999288,3.708301250000084e-17
3485.780999999959,3.6526597500000833e-17
3486.4697499999893,3.5547952500000325e-17
3487.1585000000196,3.459232000000001e-17
3487.8475000000326,3.361772500000035e-17
3488.5367500000284,3.232918750000002e-17
3489.226000000024,3.210986000000046e-17
3489.91525000002,3.2514900000000113e-17
3490.604500000016,3.331996499999953e-17
3491.293500000029,3.429133999999977e-17
3491.982500000042,3.379292749999997e-17
3492.671500000055,3.248914000000002e-17
3493.360500000068,3.082827750000046e-17
3494.04925000004,2.9248782500000054e-17
3494.738000000012,2.8498679999999813e-17
3495.426749999984,2.811900000000033e-17
3496.1154999999562,2.831266249999978e-17
3496.8044999999693,2.8195065000000045e-17
3497.4934999999823,2.8791917500000267e-17
3498.1824999999953,2.9385482499999897e-17
3498.8715000000084,2.9021410000000364e-17
3499.5602500000386,2.851433500000015e-17
3500.248750000028,2.7301797499999548e-17
3500.9372500000172,2.5989719999999512e-17
3501.6257500000065,2.6393167499999056e-17
3502.3144999999786,2.817814499999915e-17
3503.0034999999916,3.001403749999954e-17
3503.6925000000047,3.1852137499999926e-17
3504.3815000000177,3.2728205000000364e-17
3505.0705000000307,3.2421945000000283e-17
3505.7595000000438,3.2436272500000465e-17
3506.448250000016,3.251629499999986e-17
3507.136999999988,3.2403199999999714e-17
3507.82574999996,3.2571745000000134e-17
3508.514499999932,3.200385250000022e-17
3509.203499999945,3.143248250000054e-17
3509.8922499999753,3.052475750000067e-17
3510.5807499999646,3.043564250000015e-17
3511.269249999954,3.0988889999999546e-17
3511.957749999943,3.123853749999996e-17
3512.6464999999152,3.188922999999995e-17
3513.3352499999455,3.1752330000000146e-17
3514.023999999976,3.114805500000008e-17
3514.712750000006,3.064593999999976e-17
3515.4015000000363,3.0049877499999396e-17
3516.0902500000084,2.9214809999999465e-17
3516.7789999999804,2.8372567500000036e-17
3517.4677499999525,2.7685282499999925e-17
3518.156249999942,2.7435510000000323e-17
3518.8447499999893,2.7358147500000447e-17
3519.533250000037,2.836807000000045e-17
3520.2215000000433,2.981090250000061e-17
3520.9100000000326,3.111592000000034e-17
3521.5987500000047,3.2575087499999927e-17
3522.287249999994,3.256907249999943e-17
3522.976000000024,3.1788724999999115e-17
3523.6647500000545,3.098931999999947e-17
3524.3532500000438,2.958475249999952e-17
3525.042000000016,2.8569132500000145e-17
3525.730500000005,2.803911750000012e-17
3526.4187499999534,2.735746749999978e-17
3527.1072499999427,2.6882649999999676e-17
3527.7954999999492,2.608559749999921e-17
3528.4839999999385,2.5020687499999245e-17
3529.172499999986,2.3953872499999623e-17
3529.8610000000335,2.351462249999982e-17
3530.549500000023,2.3955397500000137e-17
3531.238000000012,2.5079505000000094e-17
3531.9265000000014,2.671038749999953e-17
3532.614750000008,2.833778999999959e-17
3533.303249999997,2.94479224999997e-17
3533.9915000000037,3.039282249999997e-17
3534.679999999993,3.037094000000036e-17
3535.3684999999823,2.982641000000058e-17
3536.056749999989,2.9522137500000537e-17
3536.7449999999953,2.8707930000000794e-17
3537.433250000002,2.8813122500000393e-17
3538.1215000000084,2.913485000000045e-17
3538.810000000056,2.969783250000046e-17
3539.498500000045,3.061428750000033e-17
3540.1867500000517,3.057652750000082e-17
3540.875250000041,3.1345197500000477e-17
3541.5634999999893,3.2068552500000405e-17
3542.251749999996,3.3097062500000613e-17
3542.940249999985,3.455334500000072e-17
3543.6282499999506,3.506688000000056e-17
3544.316499999957,3.5790992499999955e-17
3545.0047499999637,3.5841802499999485e-17
3545.6927499999874,3.6487309999998835e-17
3546.381250000035,3.823655249999905e-17
3547.0695000000414,3.931306249999929e-17
3547.757750000048,4.0553982499999123e-17
3548.4459999999963,4.12950774999998e-17
3549.133999999962,4.0688099999999826e-17
3549.8219999999856,4.006258499999964e-17
3550.510249999992,3.9575487500000166e-17
3551.198250000074,3.891529749999991e-17
3551.8865000001388,3.8725659999999736e-17
3552.574750000087,3.895360499999972e-17
3553.2627500000526,3.904949999999981e-17
3553.951000000001,3.888497499999945e-17
3554.6389999999665,3.854517499999989e-17
3555.3270000000484,3.7970380000000034e-17
3556.015000000014,3.753027749999999e-17
3556.7029999999795,3.7469892500000607e-17
3557.390999999945,3.7360675000000154e-17
3558.0792499999516,3.697143250000042e-17
3558.767499999958,3.652781000000022e-17
3559.4557499999646,3.603684249999987e-17
3560.14374999993,3.587062500000021e-17
3560.8314999998547,3.5914452499999815e-17
3561.5192499998957,3.5862937499999624e-17
3562.2069999999367,3.569115499999939e-17
3562.8950000000186,3.524961249999961e-17
3563.5830000001006,3.4947295e-17
3564.271000000066,3.476726500000007e-17
3564.9590000000317,3.503315500000032e-17
3565.646999999997,3.5439862500000064e-17
3566.3349999999627,3.594777999999973e-17
3567.0230000000447,3.6568412499999616e-17
3567.7107500000857,3.659060499999996e-17
3568.3985000001267,3.511769000000009e-17
3569.086250000051,3.250600000000014e-17
3569.773999999976,2.963398750000012e-17
3570.4619999999413,2.752300499999956e-17
3571.149999999907,2.716384749999914e-17
3571.837999999989,2.7695587499999647e-17
3572.52575000003,2.798634250000015e-17
